run_timestamp,site,premium_count,pluss_count,basis_count,total_count
2026-05-02 00:00:00,blocket,1979,0,3904,5883
2026-05-02 00:00:00,finn,1118,752,815,2685
2026-05-15 13:58:44,blocket,1845,0,4147,5992
2026-05-15 14:31:35,finn,1208,732,851,2791
2026-05-17 21:50:18,finn,1203,683,856,2742
2026-05-17 21:53:12,blocket,0,0,5940,5940
2026-05-24 21:50:19,finn,1113,745,886,2744
2026-05-24 21:53:15,blocket,0,0,5986,5986
2026-05-25 16:38:48,blocket,1749,0,4233,5982
2026-05-25 17:15:17,finn,1043,772,901,2716
2026-05-25 17:18:42,blocket,1800,278,3905,5983
2026-05-31 21:50:17,finn,1085,862,796,2743
2026-05-31 21:53:14,blocket,1957,293,3746,5996
2026-06-07 21:50:16,finn,1143,810,806,2759
2026-06-07 21:53:36,blocket,1913,373,3834,6120
2026-06-14 21:50:17,finn,1132,787,841,2760
2026-06-14 21:53:44,blocket,1966,343,3842,6151
2026-06-21 21:50:17,finn,1126,820,818,2764
2026-06-21 21:53:59,blocket,2023,304,3872,6199
2026-06-28 21:50:19,finn,1051,865,831,2747
2026-06-28 21:53:53,blocket,1979,331,3886,6196
2026-07-05 21:50:19,finn,1148,801,782,2731
2026-07-05 21:53:53,blocket,2056,331,3751,6138
2026-07-12 21:50:19,finn,1109,845,747,2701
2026-07-12 21:54:14,blocket,1945,246,3905,6096
2026-07-19 21:50:21,finn,1182,741,752,2675
2026-07-19 21:54:00,blocket,1944,345,3808,6097
2026-07-26 21:50:18,finn,2226,1409,1546,5181
2026-07-26 21:55:34,blocket,3760,544,7677,11981
2026-08-02 21:50:18,finn,2198,1409,1505,5112
2026-08-02 21:55:35,blocket,3587,565,7658,11810
2026-08-09 21:50:17,finn,2116,1398,1530,5044
2026-08-09 21:55:15,blocket,3654,529,7504,11687
2026-08-16 21:50:14,finn,2094,1350,1421,4865
2026-08-16 21:59:05,blocket,3626,598,7460,11684
2026-08-23 21:50:19,finn,2138,1333,1611,5082
2026-08-23 21:55:47,blocket,3482,572,7629,11683
2026-08-30 21:50:40,finn,2026,1416,1648,5090
2026-08-30 21:56:03,blocket,3623,532,7578,11733
