week,site,premium,pluss,basis,total,premium_pct,pluss_pct,basis_pct
2026-04-27,blocket,1979,0,3904,5883,33.6,0.0,66.4
2026-04-27,finn,1118,752,815,2685,41.6,28.0,30.4
2026-05-11,blocket,0,0,5940,5940,0.0,0.0,100.0
2026-05-11,finn,1203,683,856,2742,43.9,24.9,31.2
2026-05-18,blocket,0,0,5986,5986,0.0,0.0,100.0
2026-05-18,finn,1113,745,886,2744,40.6,27.2,32.3
2026-05-25,blocket,1957,293,3746,5996,32.6,4.9,62.5
2026-05-25,finn,1085,862,796,2743,39.6,31.4,29.0
2026-06-01,blocket,1913,373,3834,6120,31.3,6.1,62.6
2026-06-01,finn,1143,810,806,2759,41.4,29.4,29.2
2026-06-08,blocket,1966,343,3842,6151,32.0,5.6,62.5
2026-06-08,finn,1132,787,841,2760,41.0,28.5,30.5
2026-06-15,blocket,2023,304,3872,6199,32.6,4.9,62.5
2026-06-15,finn,1126,820,818,2764,40.7,29.7,29.6
2026-06-22,blocket,1979,331,3886,6196,31.9,5.3,62.7
2026-06-22,finn,1051,865,831,2747,38.3,31.5,30.3
2026-06-29,blocket,2056,331,3751,6138,33.5,5.4,61.1
2026-06-29,finn,1148,801,782,2731,42.0,29.3,28.6
2026-07-06,blocket,1945,246,3905,6096,31.9,4.0,64.1
2026-07-06,finn,1109,845,747,2701,41.1,31.3,27.7
2026-07-13,blocket,1944,345,3808,6097,31.9,5.7,62.5
2026-07-13,finn,1182,741,752,2675,44.2,27.7,28.1
2026-07-20,blocket,3760,544,7677,11981,31.4,4.5,64.1
2026-07-20,finn,2226,1409,1546,5181,43.0,27.2,29.8
2026-07-27,blocket,3587,565,7658,11810,30.4,4.8,64.8
2026-07-27,finn,2198,1409,1505,5112,43.0,27.6,29.4
2026-08-03,blocket,3654,529,7504,11687,31.3,4.5,64.2
2026-08-03,finn,2116,1398,1530,5044,42.0,27.7,30.3
2026-08-10,blocket,3626,598,7460,11684,31.0,5.1,63.8
2026-08-10,finn,2094,1350,1421,4865,43.0,27.7,29.2
2026-08-17,blocket,3482,572,7629,11683,29.8,4.9,65.3
2026-08-17,finn,2138,1333,1611,5082,42.1,26.2,31.7
2026-08-24,blocket,3623,532,7578,11733,30.9,4.5,64.6
2026-08-24,finn,2026,1416,1648,5090,39.8,27.8,32.4
